Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.11     0.00      511     0.00     0.00  void __gnu_cxx::new_allocator<Particle>::destroy<Particle>(Particle*)
  0.00      0.11     0.00      511     0.00     0.00  void __gnu_cxx::new_allocator<Particle>::construct<Particle, Particle>(Particle*, Particle&&)
  0.00      0.11     0.00      511     0.00     0.00  void std::allocator_traits<std::allocator<Particle> >::destroy<Particle>(std::allocator<Particle>&, Particle*)
  0.00      0.11     0.00      511     0.00     0.00  void std::allocator_traits<std::allocator<Particle> >::construct<Particle, Particle>(std::allocator<Particle>&, Particle*, Particle&&)
  0.00      0.11     0.00      511     0.00     0.00  void std::__relocate_object_a<Particle, Particle, std::allocator<Particle> >(Particle*, Particle*, std::allocator<Particle>&)
  0.00      0.11     0.00      511     0.00     0.00  std::remove_reference<Particle&>::type&& std::move<Particle&>(Particle&)
  0.00      0.11     0.00      411     0.00     0.00  std::vector<Particle, std::allocator<Particle> >::end()
  0.00      0.11     0.00      401     0.00     0.00  bool __gnu_cxx::operator!=<Particle*, std::vector<Particle, std::allocator<Particle> > >(__gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > > const&, __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > > const&)
  0.00      0.11     0.00      400     0.00     0.05  counts(std::unordered_map<int, int, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, int> > >&, double, double, double, double, double, double, int)
  0.00      0.11     0.00      400     0.00     0.00  Particle::Particle(double, double)
  0.00      0.11     0.00      400     0.00     0.00  void __gnu_cxx::new_allocator<Particle>::construct<Particle, int, int>(Particle*, int&&, int&&)
  0.00      0.11     0.00      400     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::operator++()
  0.00      0.11     0.00      400     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::operator-(long) const
  0.00      0.11     0.00      400     0.00     0.00  void std::allocator_traits<std::allocator<Particle> >::construct<Particle, int, int>(std::allocator<Particle>&, Particle*, int&&, int&&)
  0.00      0.11     0.00      400     0.00     0.00  Particle& std::vector<Particle, std::allocator<Particle> >::emplace_back<int, int>(int&&, int&&)
  0.00      0.11     0.00      400     0.00     0.00  std::vector<Particle, std::allocator<Particle> >::back()
  0.00      0.11     0.00      214     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >::_M_node_allocator()
  0.00      0.11     0.00      214     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >, true>::_M_get()
  0.00      0.11     0.00      208     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.11     0.00      208     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
